batter,total_runs,balls_faced,innings,strike_rate,avg_runs_per_innings
A Badoni,634,505,35,125.5,18.1
A Mishra,381,440,55,86.6,6.9
A Symonds,974,781,36,124.7,27.1
AB de Villiers,5181,3487,170,148.6,30.5
AC Gilchrist,2069,1555,80,133.1,25.9
AD Mathews,724,599,41,120.9,17.7
AD Russell,2488,1515,104,164.2,23.9
AJ Finch,2092,1696,90,123.3,23.2
AK Markram,995,787,42,126.4,23.7
AM Nayar,672,588,50,114.3,13.4
AM Rahane,4642,3858,171,120.3,27.1
AR Patel,1653,1318,112,125.4,14.8
AT Rayudu,4348,3490,185,124.6,23.5
Abdul Samad,579,408,39,141.9,14.8
Abhishek Sharma,1377,925,61,148.9,22.6
B Kumar,306,338,65,90.5,4.7
BA Stokes,935,718,43,130.2,21.7
BB McCullum,2882,2272,109,126.8,26.4
BJ Hodge,1400,1153,63,121.4,22.2
CA Lynn,1329,974,42,136.4,31.6
CH Gayle,4997,3516,141,142.1,35.4
CH Morris,618,413,49,149.6,12.6
CL White,971,774,45,125.5,21.6
D Padikkal,1559,1323,64,117.8,24.4
DA Miller,2924,2171,123,134.7,23.8
DA Warner,6567,4849,184,135.4,35.7
DJ Bravo,1560,1247,110,125.1,14.2
DJ Hooda,1466,1170,96,125.3,15.3
DJ Hussey,1322,1101,61,120.1,21.7
DPMD Jayawardene,1808,1522,78,118.8,23.2
DR Smith,2385,1803,88,132.3,27.1
DT Christian,460,408,41,112.7,11.2
DW Steyn,167,163,33,102.5,5.1
EJG Morgan,1406,1181,74,119.1,19.0
F du Plessis,4571,3435,138,133.1,33.1
G Gambhir,4217,3524,151,119.7,27.9
GJ Bailey,663,552,36,120.1,18.4
GJ Maxwell,2772,1842,128,150.5,21.7
Gurkeerat Singh,511,436,32,117.2,16.0
H Klaasen,993,613,32,162.0,31.0
HH Gibbs,886,837,36,105.9,24.6
HH Pandya,2534,1814,128,139.7,19.8
HV Patel,249,214,37,116.4,6.7
Harbhajan Singh,833,636,88,131.0,9.5
IK Pathan,1150,985,82,116.8,14.0
Ishan Kishan,2644,1991,99,132.8,26.7
JA Morkel,975,712,67,136.9,14.6
JC Buttler,3583,2519,106,142.2,33.8
JH Kallis,2427,2291,95,105.9,25.5
JM Bairstow,1589,1132,50,140.4,31.8
JM Sharma,730,501,36,145.7,20.3
JP Duminy,2029,1680,75,120.8,27.1
JP Faulkner,527,406,45,129.8,11.7
KA Pollard,3437,2447,168,140.5,20.5
KC Sangakkara,1687,1424,68,118.5,24.8
KD Karthik,4843,3687,233,131.4,20.8
KH Pandya,1647,1287,107,128.0,15.4
KK Nair,1496,1192,68,125.5,22.0
KL Rahul,4689,3578,122,131.1,38.4
KM Jadhav,1208,1012,81,119.4,14.9
KP Pietersen,1001,758,36,132.1,27.8
KS Williamson,2132,1734,76,123.0,28.1
KV Sharma,351,306,39,114.7,9.0
Kuldeep Yadav,183,224,32,81.7,5.7
LR Shukla,405,358,33,113.1,12.3
LRPL Taylor,1017,847,54,120.1,18.8
LS Livingstone,939,609,39,154.2,24.1
M Manhas,514,486,38,105.8,13.5
M Shahrukh Khan,553,413,37,133.9,14.9
